

t-test ADJ vs. ADV
2	-3.53	0.0007
3	-3.42	0.001
4	-3.42	0.00101
5	-3.73	0.00036
6	-1.42	0.1602
7	-1.98	0.05096
8	-4.59	2e-05
9	-1.45	0.15285
10	-0.97	0.33536
11	1.16	0.2507


t-test PRON vs. AUX
0	0.43	0.67055
1	0.26	0.79364
2	-2.54	0.01292
3	-1.96	0.05417
4	0.9	0.36956
5	-1.77	0.08078
6	0.8	0.42792
7	-0.78	0.44094
8	-1.84	0.06916
9	-0.57	0.57078
10	-0.83	0.40931
11	-0.66	0.51278


t-test PRON vs. DET
0	9.8	0.0
1	1.49	0.14094
2	-0.1	0.91811
3	0.3	0.76847
4	3.86	0.00024
5	4.04	0.00013
6	4.16	8e-05
7	2.77	0.00726
8	2.7	0.00879
9	4.45	4e-05
10	2.01	0.04867
11	2.32	0.02302


t-test PRON vs. PROPN
0	-7.87	0.0
1	-0.89	0.37741
2	-3.87	0.00023
3	-3.5	0.00087
4	0.8	0.42555
5	3.8	0.0003
6	3.05	0.0031
7	4.51	3e-05
8	-0.32	0.75142
9	-1.3	0.19828
10	-4.38	4e-05
11	-2.06	0.04286


t-test VERB vs. AUX
0	7.73	0.0
1	1.13	0.261
2	0.65	0.51831
3	1.12	0.26721
4	3.88	0.00024
5	0.84	0.40156
6	2.02	0.04707
7	0.41	0.68212
8	2.4	0.01877
9	0.76	0.44734
10	0.12	0.90577
11	-1.79	0.07796


t-test VERB vs. DET
0	17.89	0.0
1	2.96	0.00411
2	4.13	0.0001
3	4.26	6e-05
4	8.01	0.0
5	8.67	0.0
6	5.58	0.0
7	5.66	0.0
8	8.59	0.0
9	8.09	0.0
10	3.88	0.00022
11	1.45	0.15012


t-test VERB vs. PROPN
0	-0.39	0.69672
1	-0.02	0.98312
2	-0.8	0.4282
3	-1.17	0.24741
4	4.06	0.00012
5	8.52	0.0
6	4.43	3e-05
7	7.9	0.0
8	4.32	5e-05
9	-0.18	0.85521
10	-4.06	0.00015
11	-3.12	0.00285


t-test AUX vs. DET
0	8.46	0.0
1	1.02	0.31198
2	2.83	0.00619
3	2.45	0.01707
4	2.31	0.02389
5	4.72	2e-05
6	2.76	0.00742
7	2.49	0.01633
8	4.69	1e-05
9	5.11	0.0
10	3.46	0.00092
11	2.83	0.00605


t-test AUX vs. PROPN
0	-7.81	0.0
1	-1.06	0.2942
2	-1.3	0.19729
3	-1.9	0.06142
4	-0.16	0.87486
5	4.54	3e-05
6	1.85	0.06896
7	3.48	0.00108
8	1.56	0.12259
9	-0.76	0.4475
10	-4.04	0.00016
11	-1.43	0.15796


t-test DET vs. PROPN
0	-17.37	0.0
1	-2.58	0.01168
2	-4.33	5e-05
3	-3.92	0.00026
4	-2.74	0.00775
5	-0.37	0.71049
6	-1.0	0.31889
7	2.09	0.04023
8	-3.12	0.00261
9	-5.49	0.0
10	-6.4	0.0
11	-3.95	0.00019



============================================


 And now conflating all layers:

t-test ADJ vs. ADV
-0.66	0.5073707034226329

t-test ADJ vs. NOUN
-5.07	4.1168382722830143e-07

t-test ADJ vs. PRON
3.15	0.0016349216679672801

t-test ADJ vs. VERB
-6.84	8.292423451794582e-12

t-test ADJ vs. AUX
-0.89	0.37344741050635555

t-test ADJ vs. DET
11.2	6.566859738326155e-29

t-test ADJ vs. PROPN
-0.37	0.7079609281028822

t-test ADV vs. NOUN
-3.87	0.00010816999483959795

t-test ADV vs. PRON
3.55	0.00039028547808036575

t-test ADV vs. VERB
-5.48	4.424930704973288e-08

t-test ADV vs. AUX
-0.14	0.8853768791777327

t-test ADV vs. DET
10.82	5.6710764510378376e-27

t-test ADV vs. PROPN
0.26	0.7959256305071337

t-test NOUN vs. PRON
8.53	1.769976193840995e-17

t-test NOUN vs. VERB
-1.95	0.05174641805195668

t-test NOUN vs. AUX
4.17	3.0314987803890352e-05

t-test NOUN vs. DET
17.89	1.7994652179260473e-70

t-test NOUN vs. PROPN
4.1	4.1431926006761894e-05

t-test PRON vs. VERB
-10.32	8.1894309617559005e-25

t-test PRON vs. AUX
-4.09	4.430684592165038e-05

t-test PRON vs. DET
7.89	3.574262959520181e-15

t-test PRON vs. PROPN
-3.21	0.0013208546683725307

t-test VERB vs. AUX
5.97	2.4182250310487197e-09

t-test VERB vs. DET
19.85	6.580006196724767e-86

t-test VERB vs. PROPN
5.68	1.4045003283505872e-08

t-test AUX vs. DET
12.33	1.3301477631464594e-34

t-test AUX vs. PROPN
0.42	0.6725726659144753

t-test DET vs. PROPN
-10.33	9.091203682274334e-25
